SymbolReannotated EnsemblReannotated
ITPR2 ENSG00000123104
CEBPD ENSG00000221869
LEAP2 ENSG00000164406
CR613620 ENSG00000206527
ZNF565 ENSG00000196357
ANG ENSG00000259171
P/OKcl.19 ENSG00000240849
KLK2 ENSG00000167751
C9orf66 ENSG00000183784
MAP6 ENSG00000171533
RAB9B ENSG00000123570
ERP44 ENSG00000023318
CCDC85A ENSG00000055813
IQGAP2 ENSG00000145703
PDHA1 ENSG00000131828
MOSC1 ENSG00000186205
KIAA0174 ENSG00000182149
CDO1 ENSG00000129596
PDZD2 ENSG00000133401
SLCO3A1 ENSG00000176463
INSM1 ENSG00000173404
FAM90A7 ENSG00000215373
IRS1 ENSG00000169047
C17orf58 ENSG00000186665
NSMAF ENSG00000035681
ATE1 ENSG00000107669
FGD4 ENSG00000139132
LRRN3 ENSG00000173114
CBLL1 ENSG00000105879
SIM2 ENSG00000159263
FAM21C ENSG00000172661
CRISP2 ENSG00000124490
AF385432 ENSG00000196917
NPY ENSG00000122585
CTNNA2 ENSG00000066032
CTNNBIP1 ENSG00000178585
SLC11A2 ENSG00000110911
GPR37 ENSG00000170775
TIMM22 ENSG00000177370
SNCA ENSG00000145335
FZD8 ENSG00000177283
HPN ENSG00000105707
ZNF485 ENSG00000198298
BTBD3 ENSG00000132640
TMEM181 ENSG00000146433
SYNJ2 ENSG00000078269
C9orf119 ENSG00000175854
BCAT2 ENSG00000105552
KLHL2 ENSG00000109466
CYP2E1 ENSG00000130649
NUP50 ENSG00000259010
NRBP2 ENSG00000185189
PER2 ENSG00000132326
TMEM37 ENSG00000171227
NWD1 ENSG00000188039
ATG2B ENSG00000066739
MKKS ENSG00000125863
AKAP7 ENSG00000118507
NUPL2 ENSG00000136243
NKX6-2 ENSG00000148826
NSMCE4A ENSG00000107672
CIAO1 ENSG00000107672
CHPT1 ENSG00000111666
MAP1B ENSG00000131711
ZRANB1 ENSG00000019995
ACOX2 ENSG00000168306
PHF6 ENSG00000156531
IFT52 ENSG00000101052
NEDD9 ENSG00000111859
GABRA5 ENSG00000186297
BACH2 ENSG00000112182
CTNNB1 ENSG00000168036
ZNF18 ENSG00000154957
ZNF30 ENSG00000168661
LOC339240 ENSG00000205266
BRSK1 ENSG00000160469
EDN3 ENSG00000124205
HNRNPA3 ENSG00000170144
LIPA ENSG00000107798
SDCBP ENSG00000137575
C8orf42 ENSG00000180190
FAM90A7 ENSG00000205879
KIAA0232 ENSG00000170871
KIAA0664 ENSG00000132361
CDS2 ENSG00000101290
MAP2K4 ENSG00000065559
TTC39B ENSG00000155158
SYT17 ENSG00000103528
NVL ENSG00000143748
SMCR7L ENSG00000100335
ARHGEF35 ENSG00000213214
TWSG1 ENSG00000128791
TMEM56 ENSG00000152078
NMNAT2 ENSG00000157064
PHACTR2 ENSG00000112419
CKAP2 ENSG00000136108
SDHAP2 ENSG00000215837
GDPD5 ENSG00000158555
NTHL1 ENSG00000065057
FAM178A ENSG00000119906
SPIN3 ENSG00000204271
P4HA1 ENSG00000122884
TSPAN15 ENSG00000099282
TBC1D8 ENSG00000204634
FZD1 ENSG00000157240
MFSD2A ENSG00000168389
INPP1 ENSG00000151689
C1orf56 ENSG00000143443
TDRD7 ENSG00000196116
KLF9 ENSG00000119138
CPNE1 ENSG00000244462
PPM1B ENSG00000138032
ABI2 ENSG00000138443
ERCC6 ENSG00000258838
ECI2 ENSG00000198721
SNN ENSG00000184602
UCK2 ENSG00000143179
ADSS ENSG00000035687
TSR2 ENSG00000158526
PTGER4 ENSG00000171522
PSMB10 ENSG00000205220
DERL1 ENSG00000136986
BX104191 ENSG00000253696
TDRD9 ENSG00000156414
C9orf80 ENSG00000148153
MPP6 ENSG00000105926
GCOM1 ENSG00000255529
STX12 ENSG00000117758
ATP8B2 ENSG00000143515
HOXA5 ENSG00000106004
ATPAF1 ENSG00000123472
LPPR5 ENSG00000123472
CNN3 ENSG00000117519
CDH10 ENSG00000040731
SLC4A8 ENSG00000050438
NEDD4L ENSG00000049759
PARVA ENSG00000197702
LONRF1 ENSG00000154359
ZDHHC23 ENSG00000184307
TRIM24 ENSG00000122779
PTPLAD1 ENSG00000074696
MALT1 ENSG00000172175
EGFLAM ENSG00000164318
STEAP3 ENSG00000115107
APPL2 ENSG00000136044
LOC151162 ENSG00000152127
PDLIM1 ENSG00000107438
BBS2 ENSG00000125124
SH3GL2 ENSG00000107295
PVRL3 ENSG00000177707
TP53RK ENSG00000172315
MGST1 ENSG00000008394
KCNN2 ENSG00000080709
HOXA10 ENSG00000078399
MTFMT ENSG00000103707
CWH43 ENSG00000109182
MAT2A ENSG00000168906
GLUL ENSG00000135821
SNIP1 ENSG00000163877
CHMP1B ENSG00000255112
SNRPF ENSG00000139343
ARHGAP17 ENSG00000256439
MYCL1 ENSG00000116990
FRYL ENSG00000075539
CDK2 ENSG00000123374
ZAK ENSG00000091436
KIAA1191 ENSG00000122203
ALOX12B ENSG00000179477
PPFIBP1 ENSG00000110841
IL17RB ENSG00000056736
ARL6IP5 ENSG00000144746
HENMT1 ENSG00000162639
CCDC86 ENSG00000110104
FAM105B ENSG00000154124
PGBD1 ENSG00000137338
TMEM42 ENSG00000169964
NARG2 ENSG00000128915
CISD1 ENSG00000122873
TCEAL4 ENSG00000133142
RFWD2 ENSG00000143207
WDFY3 ENSG00000163625
KCNS3 ENSG00000170745
MRPS30 ENSG00000112996
CHD2 ENSG00000173575
SQRDL ENSG00000137767
PPP4R1 ENSG00000154845
KPNA4 ENSG00000186432
FUBP1 ENSG00000162613
EIF4ENIF1 ENSG00000184708
SMAGP ENSG00000170545
APP ENSG00000142192
ENPP3 ENSG00000154269
VDR ENSG00000111424
KDM5A ENSG00000073614
CYR61 ENSG00000142871
DYRK3 ENSG00000143479
ALK ENSG00000171094
ITLN2 ENSG00000158764
ETNK2 ENSG00000143845
PNPO ENSG00000108439
MEGF9 ENSG00000106780
FAM3B ENSG00000183844
PDE7A ENSG00000205268
HACL1 ENSG00000131373
RASEF ENSG00000165105
C3orf26 ENSG00000184220
SH2D4A ENSG00000104611
PUS1 ENSG00000177192
CD99L2 ENSG00000102181
RBBP6 ENSG00000122257
ZSWIM6 ENSG00000130449
CCNY ENSG00000108100
PCDHB17 ENSG00000255622
LRRC8B ENSG00000197147
TP53BP2 ENSG00000143514
RPS6KA3 ENSG00000177189
RUFY3 ENSG00000018189
PTPN13 ENSG00000163629
TACSTD2 ENSG00000184292
JARID2 ENSG00000008083
FOXO1 ENSG00000150907
DFFB ENSG00000169598
CES2 ENSG00000172831
KLHL8 ENSG00000145332
DEGS1 ENSG00000143753
SORBS2 ENSG00000154556
CRY2 ENSG00000121671
ATL1 ENSG00000198513
GRB10 ENSG00000106070
IQSEC1 ENSG00000144711
MAN2A1 ENSG00000112893
C3orf52 ENSG00000114529
RHOBTB3 ENSG00000164292
LONRF2 ENSG00000170500
PAPSS1 ENSG00000138801
AKTIP ENSG00000166971
ATXN7L3B ENSG00000253719
TMEM39B ENSG00000121775
TUSC3 ENSG00000104723
TARP ENSG00000227191
RBM45 ENSG00000155636
ASTN2 ENSG00000148219
F2R ENSG00000181104
KLHL36 ENSG00000135686
UQCC ENSG00000101019
SDC1 ENSG00000115884
MARCH3 ENSG00000173926
IMMP2L ENSG00000184903
ARHGAP20 ENSG00000137727
EIF2S1 ENSG00000134001
IAH1 ENSG00000134330
LOC440157 ENSG00000206197
surfactant associated protein J ENSG00000206197
DCBLD1 ENSG00000164465
UST ENSG00000111962
PRDX1 ENSG00000117450
TRIM32 ENSG00000119401
DDX10 ENSG00000178105
IGSF3 ENSG00000143061
ZNF207 ENSG00000010244
GIT2 ENSG00000139436
CBLB ENSG00000114423
PSRC1 ENSG00000134222
ITGA9 ENSG00000144668
SERPINB6 ENSG00000124570
KDM1A ENSG00000004487
FAM55C ENSG00000144815
C5orf15 ENSG00000113583
OSBPL6 ENSG00000079156
GINS3 ENSG00000181938
TSPYL4 ENSG00000187189
ACP6 ENSG00000162836
LNX1 ENSG00000072201
FUT8 ENSG00000033170
CDC7 ENSG00000097046
LYPD6 ENSG00000187123
CHN2 ENSG00000106069
C10orf12 ENSG00000155640
GFOD1 ENSG00000145990
PAM ENSG00000145730
PTCHD2 ENSG00000204624
RFWD3 ENSG00000168411
ZNF618 ENSG00000157657
SYBU ENSG00000147642
AFTPH ENSG00000119844
SERTAD2 ENSG00000179833
RAB4A ENSG00000213029
SOX9 ENSG00000125398
KCNJ2 ENSG00000123700
PTPN3 ENSG00000070159
IFT57 ENSG00000114446
SSFA2 ENSG00000138434
ZCRB1 ENSG00000139168
CASK ENSG00000147044
FLJ39080 ENSG00000254349
AKAP13 ENSG00000170776
ELP2 ENSG00000134759
ACPP ENSG00000014257
NDUFB11 ENSG00000147123
FAM108C1 ENSG00000136379
PDCD2 ENSG00000071994
HERPUD2 ENSG00000122557
WASL ENSG00000106299
PJA1 ENSG00000181191
BCL7A ENSG00000110987
EIF4E3 ENSG00000163412
RNF135 ENSG00000181481
ANKRD46 ENSG00000186106
RALB ENSG00000144118
TUSC1 ENSG00000198680
GAR1 ENSG00000109534
RNF34 ENSG00000170633
DAP3 ENSG00000132676
RRAGD ENSG00000025039
COQ10A ENSG00000135469
DHRS4 ENSG00000157326
OLFM1 ENSG00000130558
POLE4 ENSG00000115350
ARHGAP6 ENSG00000047648
SEMA6A ENSG00000092421
SLC2A12 ENSG00000146411
GPC6 ENSG00000183098
SMARCA1 ENSG00000102038
AGK ENSG00000006530
ANTXR2 ENSG00000163297
SLC25A3 ENSG00000075415
TMEM5 ENSG00000118600
KIAA0368 ENSG00000136813
FAM107B ENSG00000065809
TMEFF2 ENSG00000144339
KIAA0430 ENSG00000166783
CADPS ENSG00000163618
SPINK1 ENSG00000164266
ETS1 ENSG00000134954
C1orf116 ENSG00000182795
ZNF330 ENSG00000109445
SPRED1 ENSG00000166068
ANKRD36B ENSG00000196912
TAF6 ENSG00000106290
XRN2 ENSG00000088930
STAU1 ENSG00000124214
C17orf48 ENSG00000170222
HEATR1 ENSG00000119285
SPRY1 ENSG00000164056
