SymbolReannotated EnsemblReannotated
IMPAD1 ENSG00000104331
MRFAP1L1 ENSG00000178988
CR745374 ENSG00000248597
HS6ST1 ENSG00000136720
LRRC8A ENSG00000136802
ATP6V0E1 ENSG00000113732
XPR1 ENSG00000143324
TMEM87B ENSG00000153214
CGGBP1 ENSG00000163320
MICAL2 ENSG00000133816
ATG16L1 ENSG00000085978
ARHGEF37 ENSG00000183111
ZBTB7B ENSG00000160685
ABHD3 ENSG00000158201
PEX10 ENSG00000157911
LOC220115 ENSG00000198384
PLEKHF1 ENSG00000166289
CYP4B1 ENSG00000142973
DPP3 ENSG00000256349
GRAMD2 ENSG00000175318
GJB1 ENSG00000169562
SELK ENSG00000113811
CALU ENSG00000128595
SLC2A10 ENSG00000197496
TEX2 ENSG00000136478
CLDN7 ENSG00000181885
ESRRA ENSG00000173153
SLC45A3 ENSG00000158715
DTX2 ENSG00000091073
AKIRIN1 ENSG00000174574
HBEGF ENSG00000113070
CCNYL1 ENSG00000163249
TNKS1BP1 ENSG00000149115
CRADD ENSG00000169372
MYBPC1 ENSG00000196091
ENTPD2 ENSG00000054179
ATP5G1 ENSG00000159199
CTSL1 ENSG00000135047
SPG20 ENSG00000133104
CYP2J2 ENSG00000134716
LAMA1 ENSG00000101680
S100A11 ENSG00000163191
SNAP91 ENSG00000065609
SC4MOL ENSG00000250229
ISG20 ENSG00000172183
CHRM1 ENSG00000168539
TCEAL3 ENSG00000196507
C17orf106-CDK3 ENSG00000108504
ACVR1 ENSG00000115170
LAGE3 ENSG00000196976
SETD3 ENSG00000183576
GCC2 ENSG00000135968
SV2B ENSG00000185518
ASRGL1 ENSG00000162174
VMP1 ENSG00000062716
MUC20 ENSG00000176945
APOL3 ENSG00000128284
SNTB2 ENSG00000168807
C16orf57 ENSG00000103005
BCL2L1 ENSG00000171552
ELOF1 ENSG00000130165
SLC1A4 ENSG00000115902
SLC25A40 ENSG00000075303
SEC22C ENSG00000093183
FOXA1 ENSG00000129514
CALM1 ENSG00000198668
OSTM1 ENSG00000081087
GREB1 ENSG00000196208
SSR3 ENSG00000114850
SH3GLB1 ENSG00000097033
ZC3HAV1 ENSG00000105939
AQP3 ENSG00000165272
ADCK1 ENSG00000063761
LARGE ENSG00000133424
LSS ENSG00000160285
BCAR3 ENSG00000137936
SNAI2 ENSG00000019549
PXMP4 ENSG00000101417
PDE6A ENSG00000132915
PVRL2 ENSG00000240787
APLN ENSG00000171388
MB ENSG00000198125
SLC26A2 ENSG00000155850
CYP2U1 ENSG00000155016
SERP1 ENSG00000120742
ADAM15 ENSG00000143537
GRHL1 ENSG00000134317
PDPK1 ENSG00000205918
CSNK1A1 ENSG00000113712
ANXA5 ENSG00000164111
COPB2 ENSG00000184432
MAPK1 ENSG00000100030
C20orf24 ENSG00000101084
ZNF765 ENSG00000196417
LRRC1 ENSG00000137269
TLN2 ENSG00000171914
MGAT2 ENSG00000168282
DNAJC3 ENSG00000102580
STOML1 ENSG00000067221
PFKFB2 ENSG00000123836
FAM129A ENSG00000135842
PARM1 ENSG00000169116
MID1IP1 ENSG00000165175
GCNT1 ENSG00000187210
YWHAQ ENSG00000134308
GSPT1 ENSG00000103342
PRR15L ENSG00000167183
TMEM55A ENSG00000155099
RUNDC1 ENSG00000198863
MIS12 ENSG00000167842
AHNAK ENSG00000124942
SCLY ENSG00000184182
EIF2B2 ENSG00000119718
RNASE12 ENSG00000206171
MAST4 ENSG00000069020
HOXA11 ENSG00000005073
SPCS3 ENSG00000129128
IMPDH1 ENSG00000106348
C7orf53 ENSG00000181016
TMEM31 ENSG00000179363
EPSTI1 ENSG00000133106
CBX4 ENSG00000141582
DNPEP ENSG00000123992
NAPA ENSG00000105402
ELF2 ENSG00000109381
TRIM37 ENSG00000108395
CHCHD4 ENSG00000163528
RYR3 ENSG00000198838
CTBS ENSG00000117151
CCDC15 ENSG00000149548
C18orf1 ENSG00000168675
UGT2B28 ENSG00000135226
ERG ENSG00000157554
PTGS1 ENSG00000095303
LPCAT3 ENSG00000111684
EFNA1 ENSG00000169242
UGCG ENSG00000148154
ELMOD2 ENSG00000179387
ZDHHC6 ENSG00000023041
AIFM1 ENSG00000156709
ARNTL ENSG00000133794
WDYHV1 ENSG00000156795
CPEB3 ENSG00000107864
DSC2 ENSG00000134755
ADRA2A ENSG00000150594
BC141517 ENSG00000197888
UGT2B7 ENSG00000248635
HSPA13 ENSG00000155304
SELO ENSG00000073169
NUS1 ENSG00000234685
TBC1D10A ENSG00000099992
LLPH ENSG00000139233
SLC31A2 ENSG00000136867
FXYD3 ENSG00000089356
ENG ENSG00000106991
RNF212 ENSG00000178222
USP33 ENSG00000077254
SLC22A4 ENSG00000197208
ASCC1 ENSG00000138303
DNAJC25 ENSG00000059769
HCCS ENSG00000004961
LUZP1 ENSG00000169641
SH3BP4 ENSG00000130147
SNTG2 ENSG00000172554
ADRB2 ENSG00000169252
C22orf36 ENSG00000178026
FFAR2 ENSG00000126262
HSPA2 ENSG00000126803
DTX2 ENSG00000186704
SERPINA7 ENSG00000123561
SLC22A3 ENSG00000146477
RFPL1 ENSG00000128250
SEC31A ENSG00000138674
SLC41A2 ENSG00000136052
IQCK ENSG00000174628
ARHGAP28 ENSG00000088756
EPDR1 ENSG00000086289
ZCCHC6 ENSG00000083223
TMEM192 ENSG00000170088
KLK3 ENSG00000142515
RAB27A ENSG00000069974
PHGR1 ENSG00000233041
FAM196A ENSG00000188916
CDK14 ENSG00000157224
CNDP2 ENSG00000133313
PDHA1 ENSG00000131828
KCNK1 ENSG00000135750
LAMP3 ENSG00000078081
TNFRSF10B ENSG00000120889
MAL ENSG00000172005
SGPL1 ENSG00000166224
AP3S1 ENSG00000177879
SMPDL3A ENSG00000172594
RPS19BP1 ENSG00000187051
ASAP3 ENSG00000088280
HYDIN ENSG00000234295
ABCB8 ENSG00000197150
TNFRSF10A ENSG00000104689
BVES ENSG00000112276
SPOP ENSG00000121067
PPP1R3D ENSG00000132825
ATP1B1 ENSG00000143153
C9orf152 ENSG00000188959
CRY1 ENSG00000008405
PIAS4 ENSG00000105229
TIMM23 ENSG00000204152
KRT18 ENSG00000217889
NKX6-2 ENSG00000148826
ZNF622 ENSG00000173545
ISG20L2 ENSG00000220748
C17orf79 ENSG00000172301
FAM3C ENSG00000196937
SNAP23 ENSG00000092531
CIB4 ENSG00000157884
EDEM1 ENSG00000134109
MRPL17 ENSG00000158042
NFX1 ENSG00000086102
JPH1 ENSG00000104369
SRP54 ENSG00000100883
SOX9 ENSG00000125398
MUSK ENSG00000030304
POLE2 ENSG00000100479
PDE12 ENSG00000174840
AKR1B1 ENSG00000085662
ADARB1 ENSG00000197381
COL8A1 ENSG00000144810
C6orf185 ENSG00000203799
PDE8B ENSG00000113231
NEBL ENSG00000078114
KPNA1 ENSG00000114030
MAGED1 ENSG00000179222
RBM18 ENSG00000119446
NCEH1 ENSG00000144959
MORF4L2 ENSG00000123562
EBNA1BP2 ENSG00000117395
TTC12 ENSG00000149292
CBLL1 ENSG00000105879
SLCO5A1 ENSG00000137571
RAB9B ENSG00000123570
MTFP1 ENSG00000242114
CDRT4 ENSG00000259024
C9orf72 ENSG00000147894
LOX ENSG00000113083
CITED1 ENSG00000125931
NARG2 ENSG00000128915
TIMP3 ENSG00000100234
ASGR2 ENSG00000161944
NA ENSG00000122882
SASH1 ENSG00000111961
PDZRN3 ENSG00000121440
ADAMTS9 ENSG00000163638
RRAS2 ENSG00000133818
HPCAL4 ENSG00000116983
CRNKL1 ENSG00000101343
HOXA10 ENSG00000253293
HOXA10-HOXA9 ENSG00000253293
ChGn ENSG00000147408
C2orf29 ENSG00000158435
ROR1 ENSG00000185483
CR594506 ENSG00000185483
ENTPD5 ENSG00000187097
TRPM8 ENSG00000144481
FOS ENSG00000170345
MESP1 ENSG00000166823
FAM58A ENSG00000147382
RNF181 ENSG00000168894
FAM104B ENSG00000182518
AKR1D1 ENSG00000122787
WNK3 ENSG00000196632
CSMD2 ENSG00000121904
FAM86B1 ENSG00000145002
CPEB2 ENSG00000137449
MGST2 ENSG00000085871
LDHA ENSG00000134333
HIF1A ENSG00000100644
LMAN1 ENSG00000074695
MTMR9 ENSG00000104643
ZCRB1 ENSG00000139168
RBM28 ENSG00000106344
PDCL3 ENSG00000115539
SPINK13 ENSG00000214510
RNF115 ENSG00000121848
C4orf34 ENSG00000163683
SEC23A ENSG00000100934
CNN3 ENSG00000117519
COX10 ENSG00000006695
ZNF83 ENSG00000197608
FKBP14 ENSG00000106080
BCL7C ENSG00000099385
FAM174B ENSG00000185442
DNASE2B ENSG00000137976
EDEM3 ENSG00000116406
PSMB4 ENSG00000159377
P/OKcl.19 ENSG00000240849
FMO5 ENSG00000131781
C1orf116 ENSG00000182795
PDCD4 ENSG00000150593
PIGC ENSG00000135845
MLL3 ENSG00000055609
PARG ENSG00000227345
LOC728407 ENSG00000227345
IQGAP2 ENSG00000145703
MOSC1 ENSG00000186205
VCL ENSG00000035403
LEAP2 ENSG00000164406
FZD4 ENSG00000174804
F2RL1 ENSG00000164251
MTL5 ENSG00000132749
MPZL2 ENSG00000149573
LCTL ENSG00000188501
LMO7 ENSG00000136153
VIPR1 ENSG00000114812
STK32B ENSG00000152953
DGKA ENSG00000065357
KCNG1 ENSG00000248832
GMPR ENSG00000137198
SLC16A6 ENSG00000108932
PGF ENSG00000119630
GINS3 ENSG00000181938
TRMT61A ENSG00000166166
RALY ENSG00000125970
CBS ENSG00000160200
ABHD11 ENSG00000106077
MYST4 ENSG00000156650
RHOT1 ENSG00000126858
HMOX1 ENSG00000100292
B4GALT4 ENSG00000121578
KLK2 ENSG00000167751
PLAGL1 ENSG00000118495
SORT1 ENSG00000134243
TRIM61 ENSG00000248632
ATP7B ENSG00000123191
ANG ENSG00000259171
CR613620 ENSG00000206527
NSMCE4A ENSG00000107672
CIAO1 ENSG00000107672
RAB1A ENSG00000138069
FBXO7 ENSG00000100225
SS18 ENSG00000141380
GREM1 ENSG00000166923
LARS2 ENSG00000011376
INO80C ENSG00000153391
ATP2C2 ENSG00000064270
NUP98 ENSG00000110713
TAF1B ENSG00000115750
CDC7 ENSG00000097046
PHYHIPL ENSG00000165443
TOB2 ENSG00000183864
SLC44A3 ENSG00000143036
INTS6 ENSG00000102786
LRRN3 ENSG00000173114
AIMP2 ENSG00000106305
GLUL ENSG00000135821
CHIA ENSG00000134216
AK131350 ENSG00000073578
ERP44 ENSG00000023318
DIO1 ENSG00000211452
EDC3 ENSG00000179151
C9orf66 ENSG00000183784
FAM153C ENSG00000204677
KCTD3 ENSG00000136636
SLC9A8 ENSG00000197818
FZD8 ENSG00000177283
THAP7 ENSG00000184436
NAGK ENSG00000124357
NMNAT2 ENSG00000157064
NSMAF ENSG00000035681
FAM90A7 ENSG00000215373
MYL12B ENSG00000118680
CCDC85A ENSG00000055813
PPAP2A ENSG00000067113
ULK1 ENSG00000177169
ATE1 ENSG00000107669
BTBD3 ENSG00000132640
HMGCS2 ENSG00000134240
PDZD2 ENSG00000133401
MEAF6 ENSG00000163875
FAM153A ENSG00000182230
BTLA ENSG00000186265
FAM84A ENSG00000162981
CHST1 ENSG00000175264
TG ENSG00000042832
C17orf58 ENSG00000186665
NUDT11 ENSG00000196368
NPR2 ENSG00000159899
CTNNA2 ENSG00000066032
BTG2 ENSG00000159388
MAPKAPK2 ENSG00000162889
NPY ENSG00000122585
CEBPD ENSG00000221869
KLHL2 ENSG00000109466
SNCA ENSG00000145335
USP41 ENSG00000161133
CYP2E1 ENSG00000130649
ZNF18 ENSG00000154957
TRANK1 ENSG00000168016
CHKA ENSG00000110721
PHF6 ENSG00000156531
FGD4 ENSG00000139132
FAM21C ENSG00000172661
SYNJ2 ENSG00000078269
RAD54B ENSG00000197275
MFSD6 ENSG00000151690
UVRAG ENSG00000198382
SIM2 ENSG00000159263
ELK4 ENSG00000158711
MPHOSPH10 ENSG00000124383
EDN3 ENSG00000124205
TMEM37 ENSG00000171227
USP18 ENSG00000184979
TMEM181 ENSG00000146433
AUTS2 ENSG00000158321
NOL6 ENSG00000165271
MFSD2A ENSG00000168389
TTC39B ENSG00000155158
C1orf112 ENSG00000000460
MKKS ENSG00000125863
CTNNB1 ENSG00000168036
KIAA0664 ENSG00000132361
INSM1 ENSG00000173404
ACOX2 ENSG00000168306
KIAA0232 ENSG00000170871
SDCBP ENSG00000137575
GABRA5 ENSG00000186297
MAP2K4 ENSG00000065559
AKAP7 ENSG00000118507
C9orf80 ENSG00000148153
GREB1L ENSG00000141449
ARHGEF35 ENSG00000213214
FAM105B ENSG00000154124
UCK2 ENSG00000143179
CHST2 ENSG00000175040
LRCH2 ENSG00000130224
PLA2G4C ENSG00000105499
G6PC ENSG00000131482
PHACTR2 ENSG00000112419
ZAK ENSG00000091436
CDS2 ENSG00000101290
KLF9 ENSG00000119138
INPP1 ENSG00000151689
BCAT2 ENSG00000105552
SPIN3 ENSG00000204271
NTHL1 ENSG00000065057
PPM1B ENSG00000138032
P4HA1 ENSG00000122884
TMEM56 ENSG00000152078
GNAO1 ENSG00000087258
ZNF30 ENSG00000168661
MYCL1 ENSG00000116990
GDPD5 ENSG00000158555
PNPO ENSG00000108439
CHPT1 ENSG00000111666
RAB5B ENSG00000255990
SNN ENSG00000184602
NVL ENSG00000143748
DERL1 ENSG00000136986
TWSG1 ENSG00000128791
RGMB ENSG00000174136
TDRD9 ENSG00000156414
RDH11 ENSG00000072042
MAP1B ENSG00000131711
KCNN2 ENSG00000080709
CDH10 ENSG00000040731
TDRD7 ENSG00000196116
ECI2 ENSG00000198721
ITGA9 ENSG00000144668
PTPLAD1 ENSG00000074696
ALOX12B ENSG00000179477
MPP6 ENSG00000105926
STX12 ENSG00000117758
PARVA ENSG00000197702
ZRANB1 ENSG00000019995
KLHL36 ENSG00000135686
CKAP2 ENSG00000136108
PTPN9 ENSG00000169410
SNRPN ENSG00000128739
LONRF1 ENSG00000154359
ZDHHC23 ENSG00000184307
DA767045 ENSG00000223863
STEAP3 ENSG00000115107
PDLIM1 ENSG00000107438
SMOX ENSG00000088826
PVRL3 ENSG00000177707
ANKMY2 ENSG00000106524
GTPBP2 ENSG00000172432
APPL2 ENSG00000136044
MARS2 ENSG00000247626
BBS2 ENSG00000125124
ACBD6 ENSG00000135847
VPS33B ENSG00000184056
DNAJB6 ENSG00000105993
ALS2CR4 ENSG00000155755
RNF213 ENSG00000173821
ASGR1 ENSG00000141505
SCYL1 ENSG00000142186
SLC4A8 ENSG00000050438
HOXA5 ENSG00000106004
TRIM24 ENSG00000122779
EGFLAM ENSG00000164318
BX104191 ENSG00000253696
PLEKHA7 ENSG00000166689
MGST1 ENSG00000008394
UQCC ENSG00000101019
SNRPF ENSG00000139343
FRYL ENSG00000075539
RNF8 ENSG00000112130
KIAA1191 ENSG00000122203
PUS1 ENSG00000177192
HENMT1 ENSG00000162639
FAM20C ENSG00000177706
THUMPD2 ENSG00000138050
ZDHHC13 ENSG00000177054
PPP4R1 ENSG00000154845
ABL1 ENSG00000097007
HACL1 ENSG00000131373
RFWD2 ENSG00000143207
WDFY3 ENSG00000163625
HOXA10 ENSG00000078399
LOC339240 ENSG00000205266
PTGES ENSG00000255824
MAP6 ENSG00000171533
FERMT2 ENSG00000073712
MTFMT ENSG00000103707
FAM3B ENSG00000183844
GPATCH4 ENSG00000160818
KCNS3 ENSG00000170745
CWH43 ENSG00000109182
TCEAL4 ENSG00000133142
FUBP1 ENSG00000162613
C2orf68 ENSG00000168887
SLC25A45 ENSG00000162241
ARL6IP5 ENSG00000144746
KPNA4 ENSG00000186432
CISD1 ENSG00000122873
LOC151162 ENSG00000152127
C8orf42 ENSG00000180190
CHD2 ENSG00000173575
SH2D4A ENSG00000104611
VDR ENSG00000111424
DCAF5 ENSG00000139990
MOCS1 ENSG00000124615
TACSTD2 ENSG00000184292
GPR161 ENSG00000143147
GPR137B ENSG00000077585
SMAGP ENSG00000170545
PGBD1 ENSG00000137338
MICALCL ENSG00000133808
IGSF3 ENSG00000143061
PER2 ENSG00000132326
TM2D2 ENSG00000169490
GPR37 ENSG00000170775
PPFIBP1 ENSG00000110841
TP53BP2 ENSG00000143514
ENPP3 ENSG00000154269
CCDC50 ENSG00000152492
LY6H ENSG00000176956
PDE7A ENSG00000205268
CD99L2 ENSG00000102181
CRY2 ENSG00000121671
LRRC8B ENSG00000197147
ZSWIM6 ENSG00000130449
KDM5A ENSG00000073614
RPS6KA3 ENSG00000177189
MEGF9 ENSG00000106780
CES2 ENSG00000172831
PTGER4 ENSG00000171522
MALT1 ENSG00000172175
PTPN3 ENSG00000070159
RASEF ENSG00000165105
JARID2 ENSG00000008083
FOXO1 ENSG00000150907
ATXN7L3B ENSG00000253719
ELK1 ENSG00000126767
PPFIBP2 ENSG00000166387
PCDHB17 ENSG00000255622
KLHL8 ENSG00000145332
TMEM39B ENSG00000121775
CHMP4B ENSG00000101421
IMMP2L ENSG00000184903
MARCH3 ENSG00000173926
ATL1 ENSG00000198513
ETNK2 ENSG00000143845
FAM13A ENSG00000138640
MAN2A1 ENSG00000112893
FYN ENSG00000010810
RUFY3 ENSG00000018189
C3orf52 ENSG00000114529
PAPSS1 ENSG00000138801
TUSC3 ENSG00000104723
KDM1A ENSG00000004487
TARP ENSG00000227191
LOC440157 ENSG00000206197
surfactant associated protein J ENSG00000206197
ADAMTS8 ENSG00000134917
SLC20A2 ENSG00000168575
ILDR1 ENSG00000145103
DCBLD1 ENSG00000164465
IAH1 ENSG00000134330
CADPS ENSG00000163618
RHOBTB3 ENSG00000164292
DDX10 ENSG00000178105
DEGS1 ENSG00000143753
BCAS4 ENSG00000124243
CDK2 ENSG00000123374
CHMP1B ENSG00000255112
LONRF2 ENSG00000170500
SCD5 ENSG00000145284
SERPINB6 ENSG00000124570
KCNJ2 ENSG00000123700
MGC21881 ENSG00000170161
FAM55C ENSG00000144815
CCDC86 ENSG00000110104
ASTN2 ENSG00000148219
EIF2S1 ENSG00000134001
IFT52 ENSG00000101052
QSOX2 ENSG00000165661
IQCB1 ENSG00000173226
PSRC1 ENSG00000134222
LYPD6 ENSG00000187123
ERCC6 ENSG00000258838
TUSC1 ENSG00000198680
TH1L ENSG00000101158
CBLB ENSG00000114423
ZNF189 ENSG00000136870
NWD1 ENSG00000188039
ACPP ENSG00000014257
C10orf12 ENSG00000155640
GFOD1 ENSG00000145990
TRIM32 ENSG00000119401
SRPK2 ENSG00000135250
B4GALNT3 ENSG00000139044
OSBPL6 ENSG00000079156
PAM ENSG00000145730
SSX2IP ENSG00000117155
ZNF207 ENSG00000010244
RNF135 ENSG00000181481
IQSEC1 ENSG00000144711
RAB4A ENSG00000213029
RUNX1 ENSG00000159216
ZNF618 ENSG00000157657
C17orf53 ENSG00000125319
PDCD2 ENSG00000071994
SSFA2 ENSG00000138434
ARMCX6 ENSG00000198960
GCOM1 ENSG00000255529
ACP6 ENSG00000162836
FZD1 ENSG00000157240
AKAP13 ENSG00000170776
ETS1 ENSG00000134954
FAM105A ENSG00000145569
HERPUD2 ENSG00000122557
PRPF19 ENSG00000110107
AGK ENSG00000006530
FLJ39080 ENSG00000254349
EIF4E3 ENSG00000163412
GAR1 ENSG00000109534
ELP2 ENSG00000134759
COQ10A ENSG00000135469
DHRS4 ENSG00000157326
TMEM5 ENSG00000118600
ALDH9A1 ENSG00000143149
STAU1 ENSG00000124214
WASL ENSG00000106299
ARHGAP6 ENSG00000047648
GPC6 ENSG00000183098
LNX1 ENSG00000072201
AFTPH ENSG00000119844
ANKRD46 ENSG00000186106
POLE4 ENSG00000115350
C9orf30 ENSG00000066697
FBXO21 ENSG00000135108
FAM120C ENSG00000184083
ANTXR2 ENSG00000163297
ATPAF1 ENSG00000123472
LPPR5 ENSG00000123472
FAM92A1 ENSG00000188343
SLC2A12 ENSG00000146411
SPINK1 ENSG00000164266
POU5F1 ENSG00000204531
MAT2A ENSG00000168906
CGNL1 ENSG00000128849
TMEFF2 ENSG00000144339
CCDC25 ENSG00000147419
ADSS ENSG00000035687
KIF16B ENSG00000089177
SPRY1 ENSG00000164056
TRAK1 ENSG00000182606
XRN2 ENSG00000088930
SPRED1 ENSG00000166068
FAM108C1 ENSG00000136379
TAF6 ENSG00000106290
CRIM1 ENSG00000150938
ANKRD36B ENSG00000196912
